===2023-08-10 16:46:51===
===Setting===
    dataset: pacs
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 4
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[14,18,24,31,40,52,68,88,113,146,12,22,40,72,128,11,115,58,
client_nums=[10,5,2,1,]
len_dataset=[1000,462,213,98,]
domain number = 4
============ Train epoch 0 ============
 Site-photo                         | Train Loss: 1.8660 | Train Acc: 0.4286
 Site-art_painting                  | Val  Loss: 1.8274 | Val  Acc: 0.5000
 Site-art_painting                  | Val  Loss: 1.8476 | Val  Acc: 0.4255
 Site-art_painting                  | Val  Loss: 1.8297 | Val  Acc: 0.4471
 Site-cartoon                       | Val  Loss: 1.9037 | Val  Acc: 0.2857
 Site-cartoon                       | Val  Loss: 1.8874 | Val  Acc: 0.2987
 Site-sketch                        | Val  Loss: 1.9677 | Val  Acc: 0.1795
Average Valid Accuracy: 0.5440
 Best site-photo                     | Epoch:2 | Val Acc: 0.7778
 Best site-photo                     | Epoch:2 | Val Acc: 0.8333
 Best site-photo                     | Epoch:2 | Val Acc: 0.6250
 Best site-photo                     | Epoch:2 | Val Acc: 0.6190
 Best site-photo                     | Epoch:2 | Val Acc: 0.6296
 Best site-photo                     | Epoch:2 | Val Acc: 0.6857
 Best site-photo                     | Epoch:2 | Val Acc: 0.7556
 Best site-photo                     | Epoch:2 | Val Acc: 0.7759
 Best site-photo                     | Epoch:2 | Val Acc: 0.7733
 Best site-photo                     | Epoch:2 | Val Acc: 0.7216
 Best site-art_painting              | Epoch:2 | Val Acc: 0.1250
 Best site-art_painting              | Epoch:2 | Val Acc: 0.3333
 Best site-art_painting              | Epoch:2 | Val Acc: 0.5000
 Best site-art_painting              | Epoch:2 | Val Acc: 0.4255
 Best site-art_painting              | Epoch:2 | Val Acc: 0.4471
 Best site-cartoon                   | Epoch:2 | Val Acc: 0.2857
 Best site-cartoon                   | Epoch:2 | Val Acc: 0.2987
 Best site-sketch                    | Epoch:2 | Val Acc: 0.1795
 Saving the local and server checkpoint to ../checkpoint/fed_pacs_uneven_2.16_0/fedmix...
============ Train epoch 3 ============
 Site-photo                         | Train Loss: 1.6597 | Train Acc: 0.8571
 Site-photo                         | Train Loss: 1.6789 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 1.6493 | Train Acc: 0.9167
 Site-photo                         | Train Loss: 1.6558 | Train Acc: 0.9355
 Site-photo                         | Train Loss: 1.6936 | Train Acc: 0.8000
 Site-photo                         | Train Loss: 1.6607 | Train Acc: 0.8077
 Site-photo                         | Train Loss: 1.6812 | Train Acc: 0.8676
 Site-photo                         | Train Loss: 1.6711 | Train Acc: 0.7955
 Site-photo                         | Train Loss: 1.6664 | Train Acc: 0.8584
 Site-photo                         | Train Loss: 1.6629 | Train Acc: 0.8630
 Site-art_painting                  | Train Loss: 1.8190 | Train Acc: 0.3333
 Site-art_painting                  | Train Loss: 1.8484 | Train Acc: 0.3182
 Site-art_painting                  | Train Loss: 1.8356 | Train Acc: 0.4250
 Site-art_painting                  | Train Loss: 1.8159 | Train Acc: 0.5556
 Site-art_painting                  | Train Loss: 1.8111 | Train Acc: 0.5234
 Site-cartoon                       | Train Loss: 1.8287 | Train Acc: 0.2727
 Site-cartoon                       | Train Loss: 1.8864 | Train Acc: 0.2870
 Site-sketch                        | Train Loss: 1.9161 | Train Acc: 0.3448
Average Train Accuracy: 0.6534
 Site-photo                         | Val  Loss: 1.6983 | Val  Acc: 0.8889
 Site-photo                         | Val  Loss: 1.6880 | Val  Acc: 0.9167
 Site-photo                         | Val  Loss: 1.7171 | Val  Acc: 0.8750
 Site-photo                         | Val  Loss: 1.6532 | Val  Acc: 0.8095
 Site-photo                         | Val  Loss: 1.6749 | Val  Acc: 0.7778
 Site-photo                         | Val  Loss: 1.6903 | Val  Acc: 0.7714
 Site-photo                         | Val  Loss: 1.6670 | Val  Acc: 0.8222
 Site-photo                         | Val  Loss: 1.6635 | Val  Acc: 0.8448
 Site-photo                         | Val  Loss: 1.6779 | Val  Acc: 0.8933
 Site-photo                         | Val  Loss: 1.6602 | Val  Acc: 0.8351
 Site-art_painting                  | Val  Loss: 1.8866 | Val  Acc: 0.1250
 Site-art_painting                  | Val  Loss: 1.8050 | Val  Acc: 0.2667
 Site-art_painting                  | Val  Loss: 1.8067 | Val  Acc: 0.5000
 Site-art_painting                  | Val  Loss: 1.8148 | Val  Acc: 0.4894
 Site-art_painting                  | Val  Loss: 1.8048 | Val  Acc: 0.4941
 Site-cartoon                       | Val  Loss: 1.8619 | Val  Acc: 0.5714
 Site-cartoon                       | Val  Loss: 1.8585 | Val  Acc: 0.2987
 Site-sketch                        | Val  Loss: 1.9439 | Val  Acc: 0.1795
Average Valid Accuracy: 0.6311
 Best site-photo                     | Epoch:3 | Val Acc: 0.8889
 Best site-photo                     | Epoch:3 | Val Acc: 0.9167
 Best site-photo                     | Epoch:3 | Val Acc: 0.8750
 Best site-photo                     | Epoch:3 | Val Acc: 0.8095
 Best site-photo                     | Epoch:3 | Val Acc: 0.7778
 Best site-photo                     | Epoch:3 | Val Acc: 0.7714
 Best site-photo                     | Epoch:3 | Val Acc: 0.8222
 Best site-photo                     | Epoch:3 | Val Acc: 0.8448
 Best site-photo                     | Epoch:3 | Val Acc: 0.8933
 Best site-photo                     | Epoch:3 | Val Acc: 0.8351
 Best site-art_painting              | Epoch:3 | Val Acc: 0.1250
 Best site-art_painting              | Epoch:3 | Val Acc: 0.2667
 Best site-art_painting              | Epoch:3 | Val Acc: 0.5000
 Best site-art_painting              | Epoch:3 | Val Acc: 0.4894
 Best site-art_painting              | Epoch:3 | Val Acc: 0.4941
 Best site-cartoon                   | Epoch:3 | Val Acc: 0.5714
 Best site-cartoon                   | Epoch:3 | Val Acc: 0.2987
 Best site-sketch                    | Epoch:3 | Val Acc: 0.1795
 Saving the local and server checkpoint to ../checkpoint/fed_pacs_uneven_2.16_0/fedmix...
============ Train epoch 4 ============
 Site-photo                         | Train Loss: 1.5882 | Train Acc: 0.9286
 Site-photo                         | Train Loss: 1.6332 | Train Acc: 0.9444
 Site-photo                         | Train Loss: 1.5842 | Train Acc: 0.9167
 Site-photo                         | Train Loss: 1.5842 | Train Acc: 0.9677
 Site-photo                         | Train Loss: 1.6407 | Train Acc: 0.8500
 Site-photo                         | Train Loss: 1.5858 | Train Acc: 0.9231
 Site-photo                         | Train Loss: 1.6364 | Train Acc: 0.9118
 Site-photo                         | Train Loss: 1.6056 | Train Acc: 0.8636
 Site-photo                         | Train Loss: 1.5920 | Train Acc: 0.9381
 Site-photo                         | Train Loss: 1.6106 | Train Acc: 0.8904
 Site-art_painting                  | Train Loss: 1.7851 | Train Acc: 0.5000
 Site-art_painting                  | Train Loss: 1.8255 | Train Acc: 0.4545
 Site-art_painting                  | Train Loss: 1.8062 | Train Acc: 0.4750
 Site-art_painting                  | Train Loss: 1.7429 | Train Acc: 0.6111
 Site-art_painting                  | Train Loss: 1.7903 | Train Acc: 0.5234
 Site-cartoon                       | Train Loss: 1.8505 | Train Acc: 0.2727
 Site-cartoon                       | Train Loss: 1.8587 | Train Acc: 0.3478
 Site-sketch                        | Train Loss: 1.9038 | Train Acc: 0.3103
Average Train Accuracy: 0.7016
 Site-photo                         | Val  Loss: 1.6456 | Val  Acc: 0.7778
 Site-photo                         | Val  Loss: 1.6300 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 1.6531 | Val  Acc: 0.8750
 Site-photo                         | Val  Loss: 1.5872 | Val  Acc: 0.9524
 Site-photo                         | Val  Loss: 1.6089 | Val  Acc: 0.8519
 Site-photo                         | Val  Loss: 1.6284 | Val  Acc: 0.8857
 Site-photo                         | Val  Loss: 1.5994 | Val  Acc: 0.8444
 Site-photo                         | Val  Loss: 1.5973 | Val  Acc: 0.8966
 Site-photo                         | Val  Loss: 1.6131 | Val  Acc: 0.9333
 Site-photo                         | Val  Loss: 1.5894 | Val  Acc: 0.9072
 Site-art_painting                  | Val  Loss: 1.8541 | Val  Acc: 0.1250
 Site-art_painting                  | Val  Loss: 1.7837 | Val  Acc: 0.3333
 Site-art_painting                  | Val  Loss: 1.7695 | Val  Acc: 0.5000
 Site-art_painting                  | Val  Loss: 1.7692 | Val  Acc: 0.5106
 Site-art_painting                  | Val  Loss: 1.7541 | Val  Acc: 0.5882
 Site-cartoon                       | Val  Loss: 1.8111 | Val  Acc: 0.5714
 Site-cartoon                       | Val  Loss: 1.8238 | Val  Acc: 0.3636
 Site-sketch                        | Val  Loss: 1.9205 | Val  Acc: 0.3077
Average Valid Accuracy: 0.6791
 Best site-photo                     | Epoch:4 | Val Acc: 0.7778
 Best site-photo                     | Epoch:4 | Val Acc: 1.0000
 Best site-photo                     | Epoch:4 | Val Acc: 0.8750
 Best site-photo                     | Epoch:4 | Val Acc: 0.9524
 Best site-photo                     | Epoch:4 | Val Acc: 0.8519
 Best site-photo                     | Epoch:4 | Val Acc: 0.8857
 Best site-photo                     | Epoch:4 | Val Acc: 0.8444
 Best site-photo                     | Epoch:4 | Val Acc: 0.8966
 Best site-photo                     | Epoch:4 | Val Acc: 0.9333
 Best site-photo                     | Epoch:4 | Val Acc: 0.9072
 Best site-art_painting              | Epoch:4 | Val Acc: 0.1250
 Best site-art_painting              | Epoch:4 | Val Acc: 0.3333
 Best site-art_painting              | Epoch:4 | Val Acc: 0.5000
 Best site-art_painting              | Epoch:4 | Val Acc: 0.5106
 Best site-art_painting              | Epoch:4 | Val Acc: 0.5882
 Best site-cartoon                   | Epoch:4 | Val Acc: 0.5714
 Best site-cartoon                   | Epoch:4 | Val Acc: 0.3636
 Best site-sketch                    | Epoch:4 | Val Acc: 0.3077
 Saving the local and server checkpoint to ../checkpoint/fed_pacs_uneven_2.16_0/fedmix...
============ Train epoch 5 ============
 Site-photo                         | Train Loss: 1.5430 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 1.5685 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 1.5178 | Train Acc: 0.9583
 Site-photo                         | Train Loss: 1.5185 | Train Acc: 0.9677
 Site-photo                         | Train Loss: 1.5729 | Train Acc: 0.9250
 Site-photo                         | Train Loss: 1.5296 | Train Acc: 0.9231
 Site-photo                         | Train Loss: 1.5429 | Train Acc: 0.9412
 Site-photo                         | Train Loss: 1.5287 | Train Acc: 0.8977
 Site-photo                         | Train Loss: 1.5289 | Train Acc: 0.9381
 Site-photo                         | Train Loss: 1.5583 | Train Acc: 0.9041
 Site-art_painting                  | Train Loss: 1.7865 | Train Acc: 0.5000
 Site-art_painting                  | Train Loss: 1.7940 | Train Acc: 0.5000
 Site-art_painting                  | Train Loss: 1.7791 | Train Acc: 0.5750
 Site-art_painting                  | Train Loss: 1.7628 | Train Acc: 0.6250
 Site-art_painting                  | Train Loss: 1.7411 | Train Acc: 0.5938
 Site-cartoon                       | Train Loss: 1.7972 | Train Acc: 0.4545
 Site-cartoon                       | Train Loss: 1.8312 | Train Acc: 0.3652
 Site-sketch                        | Train Loss: 1.9069 | Train Acc: 0.2931
Average Train Accuracy: 0.7423
 Site-photo                         | Val  Loss: 1.5882 | Val  Acc: 0.8889
 Site-photo                         | Val  Loss: 1.5819 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 1.5888 | Val  Acc: 0.9375
 Site-photo                         | Val  Loss: 1.5137 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 1.5499 | Val  Acc: 0.9259
 Site-photo                         | Val  Loss: 1.5646 | Val  Acc: 0.8857
 Site-photo                         | Val  Loss: 1.5306 | Val  Acc: 0.9333
 Site-photo                         | Val  Loss: 1.5257 | Val  Acc: 0.9655
 Site-photo                         | Val  Loss: 1.5573 | Val  Acc: 0.9733
 Site-photo                         | Val  Loss: 1.5209 | Val  Acc: 0.9381
 Site-art_painting                  | Val  Loss: 1.8171 | Val  Acc: 0.2500
 Site-art_painting                  | Val  Loss: 1.7304 | Val  Acc: 0.4667
 Site-art_painting                  | Val  Loss: 1.7393 | Val  Acc: 0.5769
 Site-art_painting                  | Val  Loss: 1.7631 | Val  Acc: 0.5319
 Site-art_painting                  | Val  Loss: 1.7225 | Val  Acc: 0.6353
 Site-cartoon                       | Val  Loss: 1.7728 | Val  Acc: 0.5714
 Site-cartoon                       | Val  Loss: 1.8113 | Val  Acc: 0.3636
 Site-sketch                        | Val  Loss: 1.9292 | Val  Acc: 0.2821
Average Valid Accuracy: 0.7292
 Best site-photo                     | Epoch:5 | Val Acc: 0.8889
 Best site-photo                     | Epoch:5 | Val Acc: 1.0000
 Best site-photo                     | Epoch:5 | Val Acc: 0.9375
 Best site-photo                     | Epoch:5 | Val Acc: 1.0000
 Best site-photo                     | Epoch:5 | Val Acc: 0.9259
 Best site-photo                     | Epoch:5 | Val Acc: 0.8857
 Best site-photo                     | Epoch:5 | Val Acc: 0.9333
 Best site-photo                     | Epoch:5 | Val Acc: 0.9655
 Best site-photo                     | Epoch:5 | Val Acc: 0.9733
 Best site-photo                     | Epoch:5 | Val Acc: 0.9381
 Best site-art_painting              | Epoch:5 | Val Acc: 0.2500
 Best site-art_painting              | Epoch:5 | Val Acc: 0.4667
 Best site-art_painting              | Epoch:5 | Val Acc: 0.5769
 Best site-art_painting              | Epoch:5 | Val Acc: 0.5319
 Best site-art_painting              | Epoch:5 | Val Acc: 0.6353
 Best site-cartoon                   | Epoch:5 | Val Acc: 0.5714
 Best site-cartoon                   | Epoch:5 | Val Acc: 0.3636
 Best site-sketch                    | Epoch:5 | Val Acc: 0.2821
 Saving the local and server checkpoint to ../checkpoint/fed_pacs_uneven_2.16_0/fedmix...
============ Train epoch 6 ============
 Site-photo                         | Train Loss: 1.4711 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 1.4865 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 1.4356 | Train Acc: 0.9583
 Site-photo                         | Train Loss: 1.4623 | Train Acc: 0.9677
 Site-photo                         | Train Loss: 1.5084 | Train Acc: 0.9250
 Site-photo                         | Train Loss: 1.4719 | Train Acc: 0.9615
 Site-photo                         | Train Loss: 1.3848 | Train Acc: 0.9559
 Site-photo                         | Train Loss: 1.4668 | Train Acc: 0.9091
 Site-photo                         | Train Loss: 1.4658 | Train Acc: 0.9469
 Site-photo                         | Train Loss: 1.5055 | Train Acc: 0.9178
 Site-art_painting                  | Train Loss: 1.7416 | Train Acc: 0.5833
 Site-art_painting                  | Train Loss: 1.7982 | Train Acc: 0.4091
 Site-art_painting                  | Train Loss: 1.7427 | Train Acc: 0.5500
 Site-art_painting                  | Train Loss: 1.6732 | Train Acc: 0.6667
 Site-art_painting                  | Train Loss: 1.7211 | Train Acc: 0.6094
 Site-cartoon                       | Train Loss: 1.8183 | Train Acc: 0.2727
 Site-cartoon                       | Train Loss: 1.8067 | Train Acc: 0.4087
 Site-sketch                        | Train Loss: 1.8992 | Train Acc: 0.2931
Average Train Accuracy: 0.7408
 Site-photo                         | Val  Loss: 1.5334 | Val  Acc: 0.8889
 Site-photo                         | Val  Loss: 1.5208 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 1.5285 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 1.4591 | Val  Acc: 0.9524
 Site-photo                         | Val  Loss: 1.4765 | Val  Acc: 0.9259
 Site-photo                         | Val  Loss: 1.5099 | Val  Acc: 0.9143
 Site-photo                         | Val  Loss: 1.4636 | Val  Acc: 0.9111
 Site-photo                         | Val  Loss: 1.4753 | Val  Acc: 0.9828
 Site-photo                         | Val  Loss: 1.4949 | Val  Acc: 0.9600
 Site-photo                         | Val  Loss: 1.4560 | Val  Acc: 0.9278
 Site-art_painting                  | Val  Loss: 1.7190 | Val  Acc: 0.5000
 Site-art_painting                  | Val  Loss: 1.6772 | Val  Acc: 0.6000
 Site-art_painting                  | Val  Loss: 1.7282 | Val  Acc: 0.6538
 Site-art_painting                  | Val  Loss: 1.7073 | Val  Acc: 0.6596
 Site-art_painting                  | Val  Loss: 1.6885 | Val  Acc: 0.6588
 Site-cartoon                       | Val  Loss: 1.7292 | Val  Acc: 0.5714
 Site-cartoon                       | Val  Loss: 1.7909 | Val  Acc: 0.3766
 Site-sketch                        | Val  Loss: 1.9239 | Val  Acc: 0.2308
Average Valid Accuracy: 0.7619
 Best site-photo                     | Epoch:6 | Val Acc: 0.8889
 Best site-photo                     | Epoch:6 | Val Acc: 1.0000
 Best site-photo                     | Epoch:6 | Val Acc: 1.0000
 Best site-photo                     | Epoch:6 | Val Acc: 0.9524
 Best site-photo                     | Epoch:6 | Val Acc: 0.9259
 Best site-photo                     | Epoch:6 | Val Acc: 0.9143
 Best site-photo                     | Epoch:6 | Val Acc: 0.9111
 Best site-photo                     | Epoch:6 | Val Acc: 0.9828
 Best site-photo                     | Epoch:6 | Val Acc: 0.9600
 Best site-photo                     | Epoch:6 | Val Acc: 0.9278
 Best site-art_painting              | Epoch:6 | Val Acc: 0.5000
 Best site-art_painting              | Epoch:6 | Val Acc: 0.6000
 Best site-art_painting              | Epoch:6 | Val Acc: 0.6538
 Best site-art_painting              | Epoch:6 | Val Acc: 0.6596
 Best site-art_painting              | Epoch:6 | Val Acc: 0.6588
 Best site-cartoon                   | Epoch:6 | Val Acc: 0.5714
 Best site-cartoon                   | Epoch:6 | Val Acc: 0.3766
 Best site-sketch                    | Epoch:6 | Val Acc: 0.2308
